key,title,attachment_key,filename
3NUV8C8J,Efficient surrogate modeling and design optimization of compact integrated on-chip inductors based on multi-fidelity EM simulation models,URVEIC3Y,2021_Kurgan et al_Efficient surrogate modeling and design.pdf
7X4J9NGN,Exploration of AI-powered undergraduate teaching of digital signal processing—taking “sampling theorem” as an example,DCXDGZJY,2026_赵 et al_Exploration of AI-powered undergraduate.pdf
MNJA4IQV,"AI-driven integrated circuit design: A survey of techniques, challenges, and opportunities",JB7DHHR5,2025_Guven et al_AI-driven integrated circuit design A s.pdf
2EU3ZDBS,基于机器学习的5g毫米波mimo发射机建模及线性化技术,CDUL4B9Y,2021_印航_基于机器学习的5g毫米波mimo发射机建模及线性化技术.pdf
8KVFUNA2,Adapting arbitrary normal mutation distributions in evolution strategies: The covariance matrix adaptation,DJFT5R4U,1996_Hansen et al_Adapting arbitrary normal mutation distr.pdf
UHKCBJRH,A millimeter-wave four-way doherty power amplifier with over-GHz modulation bandwidth,6CNSRIIG,2024_Zhang et al_A millimeter-wave four-way doherty power.pdf
QG7DS2M2,Unfolding 3D space into binary images for daylight simulation via neural network,ZWZ7X3IB,"2023_College of Design, North Carolina State University, Raleigh, NC 27606, USA et al_Unfolding 3D space into binary images fo.pdf"
6BCXKLXS,A 28-GHz flip-chip packaged chireix transmitter with on-antenna outphasing active load modulation,BSALCSRZ,2019_Li et al_A 28-GHz flip-chip packaged chireix tran.pdf
PD7Y3SKX,Automated mmWave power amplifier design flow and a 28-GHz design example in 45-nm CMOS SOI,AR5W4P62,2024_Hu et al_Automated mmWave power amplifier design.pdf
SXRD6QX3,A 27–46-GHz low-noise amplifier with dual-resonant input matching and a transformer-based broadband output network,JN6SPWRH,2021_Hu et al_A 27–46-GHz low-noise amplifier with dua.pdf
YGKEWNNM,Deep learning on graphs: A data-centric exploration,6X84UTV4,2024_Jin et al_Deep learning on graphs A data-centric.pdf
82VQP2HG,"Recipe for a general, powerful, scalable graph transformer",QHKNKRHG,"2022_Rampášek et al_Recipe for a general, powerful, scalable.pdf"
XKGJPQLB,34.4 a 9.05-to-37.0GHz LO generator with magnetic mode switching and tuning-free octave-bandwidth common-mode resonator achieving >190.7dBc/hz FoM,A3RV38BV,2025_Guo et al_34.4 a 9.05-to-37.0GHz LO generator with.pdf
E2U74FKV,The mythos of model interpretability,W8L9X8ME,2018_Lipton et al_The mythos of model interpretability.pdf
NGML4FD4,Representation learning: A review and new perspectives,VD3ZQPQV,2013_Bengio et al_Representation learning A review and ne.pdf
8AP3FDI2,A spectral convolutional net for co-optimization of integrated voltage regulators and embedded inductors,W985SN2Y,2019_Torun et al_A spectral convolutional net for co-opti.pdf
5J5J6EXG,TraceFormer: S-parameter prediction framework for PCB traces based on graph transformer,WWERUZ4J,2024_Kim et al_TraceFormer S-parameter prediction fram.pdf
33V6TF6C,A millimeter-wave three-way doherty power amplifier for 5G NR OFDM,LACYRN8Q,2023_Zhang et al_A millimeter-wave three-way doherty powe.pdf
WQ5SX3KD,AdreamDCO: AI-driven robust and efficient design automation for digitally controlled oscillators,54QZA5BB,2025_Hu et al_AdreamDCO AI-driven robust and efficien.pdf
3RIS25R5,An area efficient high turn ratio monolithic transformer for silicon RFIC,YHVDU2L4,2008_Chee Chong Lim et al_An area efficient high turn ratio monoli.pdf
S52C9FXB,8-shaped inductors: An essential addition to RFIC designers’ toolbox,5F5JIFQ4,2024_Guan et al_8-shaped inductors An essential additio.pdf
RIBTHE6P,5G mm-wave front-end-module design with advanced SOI process,SE794BZT,2017_Li et al_5G mm-wave front-end-module design with.pdf
5NVBDQA4,Monolithic transformers for silicon RF IC design,LXSWJW37,2000_Long et al_Monolithic transformers for silicon RF I.pdf
K3YZU5VV,Pushing the performance boundaries of MmWave and sub-THz transceiver circuits through passive network design innovations,5DF4S84I,2024_Chi et al_Pushing the performance boundaries of Mm.pdf
JWHIMX48,Transfer learning assisted fast design migration over technology nodes: A study on transformer matching network,Q4BDNMLP,2024_Chu et al_Transfer learning assisted fast design m.pdf
EM4FS3EH,Residual network based direct synthesis of EM structures: A study on one-to-one transformers,PYUPFDNJ,2020_Munzer et al_Residual network based direct synthesis.pdf
8ZSN9DRJ,A D-band InP power amplifier featuring fully AI-generated passive networks,H32WF55B,2025_Hang Chai et al_A D-band InP power amplifier featuring f.pdf
WMJW4L8U,PulseRF: Physics augmented ML modeling and synthesis for high-frequency RFIC design,5Z2R5WNL,2024_Chae et al_PulseRF Physics augmented ML modeling a.pdf
6BE93969,MOTIF-RF: Multi-template on-chip transformer synthesis incorporating frequency-domain self-transfer learning for RFIC design automation,LQ2LBCSB,2025_He et al_MOTIF-RF Multi-template on-chip transfo.pdf
4JKWLQN3,Advancing electric vehicle battery management: A data-driven digital twin approach for real-time monitoring and performance enhancement,YS9XZUHW,2025_Alamin et al_Advancing electric vehicle battery manag.pdf
6X78HGMI,Physics-informed neural network-enhanced model predictive temperature balancing control for li-ion battery modules,BUHQFDHA,2025_Jiang et al_Physics-informed neural network-enhanced.pdf
P48V5JT6,Highly efficient automatic synthesis of a millimeter-wave on-chip deformable spiral inductor using a hybrid knowledge-guided and data-driven technique,4WGLJUXU,2023_Wei et al_Highly efficient automatic synthesis of.pdf
33EVJZB7,Physics-informed machine learning in design and manufacturing: Status and challenges,KQYCA8TF,2025_Pan et al_Physics-informed machine learning in des.pdf
BLKPD658,A hybrid modelling approach for parameter estimation of analytical reflection models in the failure analysis process of semiconductors,STYN95A8,2021_Kamm et al_A hybrid modelling approach for paramete.pdf
BF6XM4WU,Physics-informed neural networks for control of single-phase flow systems governed by partial differential equations,UGEZXACA,2025_Miyatake et al_Physics-informed neural networks for con.pdf
9DTYJEI2,Physics-informed neural networks in grid-connected inverters: A review,6KLPZ6V7,2025_Mahdouri et al_Physics-informed neural networks in grid.pdf
EKBD8UFB,A physics-informed automatic neural network generation framework for emerging device modeling,S6SX24CT,2023_Guo et al_A physics-informed automatic neural netw.pdf
2GKJVXFC,Physics-informed neural networks for high-fidelity electromagnetic field approximation in VLSI and RF EDA applications,9V7QYKI8,2025_Zhang et al_Physics-informed neural networks for hig.pdf
T3XPEJ75,Machine learning in fluid dynamics—physics-informed neural networks (PINNs) using sparse data: A review,QYRWW5QK,2025_El Hassan et al_Machine learning in fluid dynamics—physi.pdf
UJ77TTT4,Application of machine learning in the design of electromagnetic structures,TDQ98XTD,Wang et al_Application of machine learning in the d.pdf
GGMFFDLA,Automated neural network-based optimization for enhancing dynamic range in active filter design,AH3ZB5CP,2025_Daylak et al_Automated neural network-based optimizat.pdf
GQ93NLGD,Modeling radio-frequency devices based on deep learning technique,BIHF2VX7,2021_Guan et al_Modeling radio-frequency devices based o.pdf
YCDZGHRU,Using adaptive surrogate models to accelerate multi-objective design optimization of MEMS,NIXI2HAJ,2025_Nazari et al_Using adaptive surrogate models to accel.pdf
DB52W3UK,Physics-informed machine learning for transformer condition monitoring – part II: Physics-informed neural networks and uncertainty quantification,RPC2338E,2025_Aizpurua et al_Physics-informed machine learning for tr.pdf
8KYNDHCQ,Global sensitivity analysis and uncertainty quantification of crude distillation unit using surrogate model based on gaussian process regression,F7959HBT,Global sensitivity analysis and uncertai.pdf
Y4PUBS2I,Comparative study of surrogate modeling methods for signal integrity and microwave circuit applications,JV9XD429,2021_Nguyen et al_Comparative study of surrogate modeling.pdf
KRNHXHDL,https://publ.icgbio.ru/wp-content/uploads/2024/09/BGRSSB_2024_Abstracts-137-140.pdf,8M5WCATC,2024_httpspubl.icgbio.ruwp-contentupload.pdf
97BUPLME,Multi-objective design of compact RF/microwave components using decomposition and surrogate modeling,KEQUDDDT,2015_Koziel et al_Multi-objective design of compact RFmic.pdf
FN8H54KW,Broadband lumped-element parameter extraction method of two-port 3D MEMS in-chip solenoid inductors based on a physics-based equivalent circuit model,A2SL87R3,2020_Sun et al_Broadband lumped-element parameter extra.pdf
KV3U7KPC,Machine learning and statistical modeling,BRR447DS,2004_Machine learning and statistical modelin.pdf
YD32XTSY,On-chip spiral inductors with patterned ground shields for si-based RF ICs,PBPRD4RD,1998_Yue et al_On-chip spiral inductors with patterned.pdf
BQUGCM6M,Modelling of different on-chip inductors for radio frequency integrated circuits,CF499WXD,2022_Muneeswaran et al_Modelling of different on-chip inductors.pdf
CNKBS9ZK,Accurate systematic model-parameter extraction for on-chip spiral inductors,BB2R2V7H,2008_Chen et al_Accurate systematic model-parameter extr.pdf
ZXK2C3TQ,EScholarship at the university of california: A case study in sustainable innovation for open access,DJG55QC3,2004_Hughes et al_EScholarship at the university of califo.pdf
7ICK8C24,Modeling and characterization of on-chip transformers,ITWBGLTA,1998_Mohan et al_Modeling and characterization of on-chip.pdf
MYU56SZG,"Integrated on-chip transformers: Recent progress in the design, layout, modeling and fabrication",DZKW2RDE,2019_Bajwa et al_Integrated on-chip transformers Recent.pdf
NHBY73M7,Performance trends of on-chip spiral inductors for rfics,BLQ9Z8XL,2004_Pan et al_Performance trends of on-chip spiral ind.pdf
DD2ABY3H,A reconfigurable linear RF analog processor for realizing microwave artificial neural network,83FSBHAQ,2024_Zhu et al_A reconfigurable linear RF analog proces.pdf
WHHZFBC5,Adaptive synthesis using hybrid genetic algorithm and particle swarm optimization for reflectionless filter with lumped elements,B6NT8MDL,2023_Li et al_Adaptive synthesis using hybrid genetic.pdf
CRWBPMPF,基于人工智能优化算法的宽带多频功率放大器研究,7MTNYLAH,2024_孙冰杰_基于人工智能优化算法的宽带多频功率放大器研究.pdf
TRXW86LP,射频电路参数优化算法开发及工具化实现,5MZ9RTXC,2025_杨升森_射频电路参数优化算法开发及工具化实现.pdf
XCV8A9YH,基于机器学习算法的射频功率放大器设计,PQ7NAPQI,2023_曲研_基于机器学习算法的射频功率放大器设计.pdf
BBTK2IRX,Machine learning assisted design of mmWave radio frequency circuits,MZQ9BUGP,Machine_Learning_Assisted_Design_of_mmWave_RF_Circuits_UCI_Thesis.pdf
7ZITQRLN,Use of machine learning in radio frequency integrated circuits (RFIC) development,L39GUAPM,Cui et al_Use of Machine Learning in Radio Frequen.pdf
IBE77NYN,ASPDAC 2025: Invited paper,66FTRLQ3,Pdf.pdf
YRYACR25,ML-assisted RF IC design enablement: The new frontier of AI for EDA,Y97M4MI3,2025_Chae et al_ML-assisted RF IC design enablement The_1.pdf
UBP9F9S3,FuNToM: Functional modeling of RF circuits using a neural network assisted two-port analysis method,3T929VMH,2023_Fayazi et al_FuNToM Functional modeling of RF circui.pdf
649AFRSD,Dual-band multibeam antenna arrays fed by frequency-dependent feeding network,MS6AGFGM,2026_Liu et al_Dual-band multibeam antenna arrays fed b.pdf
UTCU3WPZ,Rapid layout optimization of active RF circuit with deep learning: From rectifiers to power amplifiers,SJFXD2VR,2025_Li et al_Rapid layout optimization of active RF c.pdf
AZET238X,Bayesian optimization approach for RF circuit synthesis via multitask neural network enhanced gaussian process,KNEBFHKK,2022_Huang et al_Bayesian optimization approach for RF ci.pdf
8Q2LM8U4,Automated design and optimization of distributed filter circuits using reinforcement learning,TPQDMSCA,2024_Gao et al_Automated design and optimization of dis.pdf
ZU8E5JUL,机器学习辅助的片上振荡器设计技术,PJSV648Z,2024_孙振元_机器学习辅助的片上振荡器设计技术.pdf
CDGJKG9F,机器学习辅助的片上感性器件设计技术及软件研发,KARADJU8,2025_魏家豪_机器学习辅助的片上感性器件设计技术及软件研发.pdf
KUC2NVJU,机器学习辅助的片上变压器设计技术及软件,WF4GW4NC,2024_魏亚雯_机器学习辅助的片上变压器设计技术及软件.pdf
4NSQ7TBQ,采用机器学习辅助优化的毫米波宽带低噪声放大器智能设计,HBB6L8YE,2024_方晨豪_采用机器学习辅助优化的毫米波宽带低噪声放大器智能设计.pdf
KCANJFYL,面向宽带卫星通信和5g毫米波通信的低噪声放大器芯片研究,T957JIEZ,2024_张嘉俊_面向宽带卫星通信和5g毫米波通信的低噪声放大器芯片研究.pdf
62P7W2IH,AI-assisted template-seeded pixelated design for multi-metal-layer high-coupling EM structures: A ku-band 6G FR3 PA in 22nm FDX+,G6ZWCHZP,2025_Chu et al_AI-assisted template-seeded pixelated de.pdf
MGWZ88AU,Genetic algorithm-based inverse design of guided wave planar terahertz filters,7VVBJPTT,2025_Dehghanian et al_Genetic algorithm-based inverse design o.pdf
3HSLA5QN,Analysis and design of analog integrated circuits,ZQ25462F,2024_Gray et al_Analysis and design of analog integrated.pdf
D4WXQBQX,Radio frequency integrated circuits and systems,XVWMFZV6,2020_Darabi et al_Radio frequency integrated circuits and.pdf
TCYLEDX6,Film history: an introduction,LLPJDA2Q,2022_Thompson et al_Film history an introduction.compare.pdf
6WBFNMM9,Design of analog CMOS integrated circuits,BUX6N5LZ,2017_Razavi et al_Design of analog CMOS integrated circuit.pdf
XC5LQ6ZH,RF microelectronics,GIYPV3N9,2012_Razavi et al_RF microelectronics.pdf
4NUTEDJH,Analog design essentials,SYJYUPYS,2006_Sansen et al_Analog design essentials.pdf
